date,close
2021-03-31,3.4700
2021-03-30,3.4100
2021-03-29,3.3100
2021-03-26,3.5000
2021-03-25,3.6600
2021-03-24,3.5000
2021-03-23,3.6500
2021-03-22,3.7800
2021-03-19,3.9900
2021-03-18,3.8400
2021-03-17,4.1500
2021-03-16,4.0900
2021-03-15,4.4000
2021-03-12,4.4400
2021-03-11,4.0400
2021-03-10,2.8900
2021-03-09,3.0900
2021-03-08,2.8300
2021-03-05,2.6800
2021-03-04,2.8200
2021-03-03,3.0600
2021-03-02,3.2000
2021-03-01,3.1500
2021-02-26,3.0300
2021-02-25,3.0800
2021-02-24,3.3600
2021-02-23,3.0400
2021-02-22,3.2600
2021-02-19,3.5200
2021-02-18,3.4100
2021-02-17,3.7300
2021-02-16,4.1800
2021-02-12,3.7500
2021-02-11,3.6700
2021-02-10,6.0000
2021-02-09,4.3700
2021-02-08,3.3000
2021-02-05,2.3400
2021-02-04,2.4100
2021-02-03,2.3600
2021-02-02,1.9500
2021-02-01,1.8200
2021-01-29,1.8300
2021-01-28,1.9100
2021-01-27,1.7700
2021-01-26,1.8200
2021-01-25,1.6300
2021-01-22,1.7200
2021-01-21,1.7400
2021-01-20,1.8000
2021-01-19,1.8300
2021-01-15,1.8000
2021-01-14,1.8000
2021-01-13,1.6500
2021-01-12,1.5800
2021-01-11,1.7700
2021-01-08,1.7000
2021-01-07,1.7100
2021-01-06,1.7000
2021-01-05,1.5500
2021-01-04,1.4600
2020-12-31,1.3300
2020-12-30,1.3700
2020-12-29,1.3600
2020-12-28,1.4000
2020-12-24,1.4200
2020-12-23,1.4600
2020-12-22,1.3700
2020-12-21,1.3400
2020-12-18,1.3800
2020-12-17,1.4200
2020-12-16,1.4300
2020-12-15,1.4200
2020-12-14,1.2900
2020-12-11,1.3700
2020-12-10,1.3900
2020-12-09,1.3700
2020-12-08,1.4600
2020-12-07,1.4600
2020-12-04,1.4500
2020-12-03,1.5000
2020-12-02,1.4000
2020-12-01,1.2800
2020-11-30,1.4100
2020-11-27,1.3300
2020-11-25,1.2200
2020-11-24,1.2200
2020-11-23,1.1200
2020-11-20,1.1200
2020-11-19,1.1200
2020-11-18,1.1300
2020-11-17,1.1800
2020-11-16,1.1300
2020-11-13,1.1300
2020-11-12,1.1500
2020-11-11,1.2300
2020-11-10,1.2300
2020-11-09,1.6000
2020-11-06,1.6500
2020-11-05,1.4000
2020-11-04,1.2400
2020-11-03,1.3400
2020-11-02,1.3200
2020-10-30,1.2000
2020-10-29,1.2200
2020-10-28,1.1900
2020-10-27,1.2200
2020-10-26,1.2200
2020-10-23,1.2600
2020-10-22,1.2500
2020-10-21,1.2400
2020-10-20,1.2200
2020-10-19,1.2500
2020-10-16,1.1800
2020-10-15,1.1900
2020-10-14,1.2000
2020-10-13,1.2700
2020-10-12,1.2400
2020-10-09,1.2100
2020-10-08,1.2600
2020-10-07,1.1300
2020-10-06,1.0600
2020-10-05,1.0700
2020-10-02,1.0300
2020-10-01,1.0500
2020-09-30,1.0500
2020-09-29,1.0500
2020-09-28,1.0100
2020-09-25,1.0500
2020-09-24,1.0800
2020-09-23,1.1100
2020-09-22,1.1900
2020-09-21,1.1900
2020-09-18,1.1400
2020-09-17,1.1300
2020-09-16,1.1600
2020-09-15,1.0750
2020-09-14,1.0700
2020-09-11,1.0600
2020-09-10,1.1300
2020-09-09,1.0900
2020-09-08,1.1200
2020-09-04,1.1500
2020-09-03,1.1500
2020-09-02,1.1800
2020-09-01,1.2300
2020-08-31,1.2600
2020-08-28,1.2800
2020-08-27,1.2600
2020-08-26,1.2700
2020-08-25,1.2900
2020-08-24,1.2800
2020-08-21,1.2900
2020-08-20,1.3300
2020-08-19,1.3700
2020-08-18,1.4600
2020-08-17,1.4500
2020-08-14,1.4700
2020-08-13,1.3900
2020-08-12,1.3500
2020-08-11,1.3300
2020-08-10,1.3400
2020-08-07,1.2700
2020-08-06,1.2500
2020-08-05,1.3100
2020-08-04,1.3000
2020-08-03,1.2800
2020-07-31,1.2300
2020-07-30,1.2800
2020-07-29,1.3100
2020-07-28,1.3600
2020-07-27,1.3300
2020-07-24,1.3400
2020-07-23,1.3200
2020-07-22,1.3700
2020-07-21,1.3800
2020-07-20,1.5200
2020-07-17,1.5600
2020-07-16,1.5500
2020-07-15,1.5800
2020-07-14,1.5200
2020-07-13,1.5100
2020-07-10,1.5300
2020-07-09,1.4900
2020-07-08,1.5400
2020-07-07,1.5900
2020-07-06,1.5600
2020-07-02,1.6200
2020-07-01,1.6200
2020-06-30,1.5600
2020-06-29,1.6400
2020-06-26,1.6700
2020-06-25,1.7500
2020-06-24,1.8000
2020-06-23,1.8800
2020-06-22,1.8600
2020-06-19,1.8900
2020-06-18,1.9500
2020-06-17,1.9100
2020-06-16,1.9700
2020-06-15,1.9700
2020-06-12,1.9900
2020-06-11,1.8200
2020-06-10,2.1800
2020-06-09,2.1400
2020-06-08,2.0300
2020-06-05,1.7600
2020-06-04,1.7500
2020-06-03,1.8000
2020-06-02,1.8000
2020-06-01,1.8200
2020-05-29,1.7400
2020-05-28,1.8700
2020-05-27,1.6900
2020-05-26,1.7200
2020-05-22,1.6500
2020-05-21,1.5800
2020-05-20,1.5400
2020-05-19,1.5600
2020-05-18,1.6200
2020-05-15,1.4500
2020-05-14,1.2600
2020-05-13,1.1700
2020-05-12,1.3100
2020-05-11,1.4100
2020-05-08,1.4500
2020-05-07,1.4700
2020-05-06,1.4600
2020-05-05,1.4900
2020-05-04,1.5300
2020-05-01,1.5000
2020-04-30,1.5800
2020-04-29,1.6300
2020-04-28,1.6100
2020-04-27,1.6900
2020-04-24,1.5800
2020-04-23,1.5200
2020-04-22,1.5200
2020-04-21,1.5500
2020-04-20,1.5700
2020-04-17,1.5900
2020-04-16,1.5100
2020-04-15,1.5700
2020-04-14,1.5950
2020-04-13,1.8100
2020-04-09,1.8400
2020-04-08,1.8300
2020-04-07,1.7200
2020-04-06,1.7100
2020-04-03,1.6200
2020-04-02,1.8200
2020-04-01,1.8000
2020-03-31,2.0000
2020-03-30,2.0300
2020-03-27,2.1000
2020-03-26,1.9500
2020-03-25,1.7700
2020-03-24,1.6300
2020-03-23,1.5000
2020-03-20,1.5700
2020-03-19,1.5300
2020-03-18,1.5400
2020-03-17,1.7000
2020-03-16,1.6000
2020-03-13,1.6400
2020-03-12,1.4400
2020-03-11,1.7200
2020-03-10,1.8600
2020-03-09,1.7700
2020-03-06,1.9700
2020-03-05,2.0900
2020-03-04,2.1800
2020-03-03,2.1300
2020-03-02,2.2600
2020-02-28,2.2000
2020-02-27,2.2200
2020-02-26,2.3500
2020-02-25,2.4000
2020-02-24,2.5000
2020-02-21,2.6800
2020-02-20,2.6800
2020-02-19,2.6500
2020-02-18,2.6800
2020-02-14,2.7200
2020-02-13,2.4000
2020-02-12,2.2100
2020-02-11,2.3200
2020-02-10,2.3100
2020-02-07,2.2700
2020-02-06,2.3500
2020-02-05,2.5300
2020-02-04,2.6100
2020-02-03,2.5300
2020-01-31,2.5900
2020-01-30,2.6300
2020-01-29,2.7200
2020-01-28,2.7200
2020-01-27,2.6100
2020-01-24,2.7600
2020-01-23,2.8900
2020-01-22,2.9200
2020-01-21,3.0100
2020-01-17,3.2600
2020-01-16,3.4000
2020-01-15,3.1400
2020-01-14,2.1600
2020-01-13,2.2300
2020-01-10,2.0200
2020-01-09,2.1000
2020-01-08,2.1300
2020-01-07,2.0600
2020-01-06,2.1800
2020-01-03,2.2700
2020-01-02,2.3300
2019-12-31,2.4500
2019-12-30,2.2300
2019-12-27,2.3500
2019-12-26,2.3400
2019-12-24,2.5100
2019-12-23,2.4700
2019-12-20,2.3800
2019-12-19,2.4400
2019-12-18,2.3600
2019-12-17,2.5300
2019-12-16,2.5600
2019-12-13,2.5900
2019-12-12,2.5700
2019-12-11,2.5600
2019-12-10,2.5800
2019-12-09,2.6900
2019-12-06,2.5900
2019-12-05,2.6200
2019-12-04,2.5700
2019-12-03,2.8300
2019-12-02,2.6900
2019-11-29,2.6900
2019-11-27,2.7000
2019-11-26,2.5400
2019-11-25,2.5300
2019-11-22,2.6400
2019-11-21,2.8600
2019-11-20,2.4600
2019-11-19,2.3200
2019-11-18,2.0600
2019-11-15,2.2900
2019-11-14,2.4700
2019-11-13,2.5100
2019-11-12,2.7300
2019-11-11,3.3900
2019-11-08,3.6600
2019-11-07,3.5200
2019-11-06,3.7000
2019-11-05,3.4500
2019-11-04,3.2600
2019-11-01,3.4100
2019-10-31,3.3300
2019-10-30,3.3500
2019-10-29,3.3900
2019-10-28,3.6400
2019-10-25,3.7700
2019-10-24,3.5600
2019-10-23,3.6000
2019-10-22,3.5400
2019-10-21,3.5600
2019-10-18,3.6000
2019-10-17,3.7300
2019-10-16,3.4400
2019-10-15,3.5400
2019-10-14,3.2600
2019-10-11,3.1600
2019-10-10,2.7200
2019-10-09,3.1500
2019-10-08,3.1500
2019-10-07,3.2200
2019-10-04,3.4200
2019-10-03,3.5600
2019-10-02,3.5800
2019-10-01,3.5400
2019-09-30,3.4400
2019-09-27,3.6700
2019-09-26,3.6900
2019-09-25,3.8000
2019-09-24,3.9200
2019-09-23,4.1800
2019-09-20,4.1900
2019-09-19,4.1600
2019-09-18,4.2200
2019-09-17,4.1900
2019-09-16,4.3400
2019-09-13,4.5000
2019-09-12,4.5400
2019-09-11,4.7300
2019-09-10,4.7500
2019-09-09,4.7100
2019-09-06,4.9400
2019-09-05,4.7700
2019-09-04,4.3100
2019-09-03,4.3000
2019-08-30,4.2100
2019-08-29,4.2600
2019-08-28,4.2600
2019-08-27,4.1300
2019-08-26,4.4900
2019-08-23,4.6500
2019-08-22,4.9400
2019-08-21,5.0900
2019-08-20,5.1300
2019-08-19,5.0200
2019-08-16,5.1500
2019-08-15,5.0000
2019-08-14,5.3700
2019-08-13,5.5700
2019-08-12,5.4700
2019-08-09,5.6600
2019-08-08,5.6800
2019-08-07,5.5700
2019-08-06,5.6600
2019-08-05,5.5800
2019-08-02,5.7700
2019-08-01,5.6500
2019-07-31,5.9900
2019-07-30,5.9700
2019-07-29,5.9300
2019-07-26,5.9000
2019-07-25,5.8300
2019-07-24,5.9400
2019-07-23,6.0700
2019-07-22,6.2700
2019-07-19,6.3300
2019-07-18,6.4300
2019-07-17,6.8500
2019-07-16,6.6100
2019-07-15,6.1000
2019-07-12,5.8300
2019-07-11,6.2800
2019-07-10,6.6300
2019-07-09,6.9200
2019-07-08,7.0800
2019-07-05,6.5600
2019-07-03,6.5200
2019-07-02,6.2900
2019-07-01,6.5800
2019-06-28,6.4400
2019-06-27,6.4100
2019-06-26,6.2100
2019-06-25,6.0500
2019-06-24,6.2900
2019-06-21,6.3600
2019-06-20,6.3900
2019-06-19,6.2500
2019-06-18,6.4400
2019-06-17,6.2200
2019-06-14,6.2700
2019-06-13,6.8000
2019-06-12,7.0100
2019-06-11,7.2500
2019-06-10,7.3900
2019-06-07,7.2600
2019-06-06,7.2100
2019-06-05,7.3300
2019-06-04,7.4300
2019-06-03,6.8600
2019-05-31,7.2400
2019-05-30,7.5500
2019-05-29,7.6900
2019-05-28,7.8500
2019-05-24,7.4900
2019-05-23,7.2200
2019-05-22,7.6100
2019-05-21,7.8100
2019-05-20,8.3500
2019-05-17,7.9800
2019-05-16,7.7580
2019-05-15,7.3350
2019-05-14,7.0934
2019-05-13,6.9000
2019-05-10,7.0780
2019-05-09,6.7276
2019-05-08,6.9524
2019-05-07,6.9693
2019-05-06,7.1800
2019-05-03,7.2663
2019-05-02,7.1500
2019-05-01,7.6600
2019-04-30,7.4500
2019-04-29,7.2356
2019-04-26,6.5300
2019-04-25,6.5474
2019-04-24,6.6200
2019-04-23,6.6970
2019-04-22,6.7800
2019-04-18,6.5600
2019-04-17,6.6500
2019-04-16,6.4695
2019-04-15,6.3600
2019-04-12,7.0400
2019-04-11,6.6362
2019-04-10,6.9100
2019-04-09,6.8484
2019-04-08,7.1500
2019-04-05,7.2252
2019-04-04,7.2456
2019-04-03,7.3970
2019-04-02,7.3000
2019-04-01,7.0700
2019-03-29,6.7500
2019-03-28,6.5551
2019-03-27,6.6760
2019-03-26,6.8900
2019-03-25,6.7600
2019-03-22,6.8700
2019-03-21,7.0400
2019-03-20,7.2700
2019-03-19,6.9700
2019-03-18,6.8970
2019-03-15,6.7600
2019-03-14,6.6800
2019-03-13,6.6800
2019-03-12,6.7500
2019-03-11,6.6800
2019-03-08,6.6000
2019-03-07,6.2800
2019-03-06,6.7519
2019-03-05,6.9800
2019-03-04,6.8200
2019-03-01,6.4997
2019-02-28,6.4230
2019-02-27,6.3637
2019-02-26,6.4500
2019-02-25,5.9530
2019-02-22,5.9063
2019-02-21,5.9304
2019-02-20,5.9601
2019-02-19,5.7600
2019-02-15,5.7200
2019-02-14,5.5307
2019-02-13,5.5785
2019-02-12,5.6200
2019-02-11,5.1585
2019-02-08,4.9750
2019-02-07,5.3076
2019-02-06,5.3627
2019-02-05,5.7253
2019-02-04,5.9286
2019-02-01,6.0000
2019-01-31,5.9632
2019-01-30,5.6300
2019-01-29,5.5700
2019-01-28,5.3115
2019-01-25,4.5000
2019-01-24,4.6100
2019-01-23,4.6909
2019-01-22,4.6795
2019-01-18,4.7895
2019-01-17,4.6950
2019-01-16,4.7600
2019-01-15,4.6605
2019-01-14,4.7220
2019-01-11,4.7900
2019-01-10,4.5977
2019-01-09,4.4290
2019-01-08,4.1200
2019-01-07,4.2000
2019-01-04,4.2798
2019-01-03,4.1559
2019-01-02,4.1809
2018-12-31,3.5681
2018-12-28,3.4300
2018-12-27,3.1200
2018-12-26,3.2000
2018-12-24,3.1600
2018-12-21,3.2000
2018-12-20,3.3569
2018-12-19,3.4300
2018-12-18,3.5700
2018-12-17,3.5800
2018-12-14,3.6900
2018-12-13,3.4969
2018-12-12,3.6772
2018-12-11,3.7200
2018-12-10,3.5500
2018-12-07,3.6000
2018-12-06,3.6700
2018-12-04,3.6630
2018-12-03,3.9700
2018-11-30,4.1667
2018-11-29,4.2705
2018-11-28,4.1200
2018-11-27,3.9260
2018-11-26,4.0500
2018-11-23,4.2440
2018-11-21,4.0843
2018-11-20,3.9197
2018-11-19,4.0400
2018-11-16,4.2574
2018-11-15,4.3900
2018-11-14,4.1200
2018-11-13,4.0770
2018-11-12,4.1500
2018-11-09,4.4160
2018-11-08,4.6700
2018-11-07,5.0900
2018-11-06,4.9300
2018-11-05,4.8430
2018-11-02,4.4450
2018-11-01,4.4500
2018-10-31,4.2877
2018-10-30,4.0475
2018-10-29,4.0000
2018-10-26,4.3900
2018-10-25,4.3314
2018-10-24,3.8200
2018-10-23,4.2800
2018-10-22,4.5896
2018-10-19,5.1540
2018-10-18,5.4900
2018-10-17,5.6085
2018-10-16,5.6700
2018-10-15,6.3000
2018-10-12,5.7600
2018-10-11,5.4800
2018-10-10,5.5950
2018-10-09,5.6000
2018-10-08,5.9000
2018-10-05,5.7300
2018-10-04,5.4400
2018-10-03,5.4300
2018-10-02,5.2720
2018-10-01,5.5000
2018-09-28,5.3655
2018-09-27,5.0400
2018-09-26,5.2700
2018-09-25,5.2700
2018-09-24,5.3600
2018-09-21,5.4940
2018-09-20,5.7000
2018-09-19,5.4300
2018-09-18,5.8600
2018-09-17,5.5500
2018-09-14,5.3000
2018-09-13,5.3200
2018-09-12,5.9900
2018-09-11,5.9305
2018-09-10,5.5500
2018-09-07,5.2000
2018-09-06,5.1400
2018-09-05,4.9457
2018-09-04,5.0380
2018-08-31,5.0500
2018-08-30,5.0200
2018-08-29,5.1200
2018-08-28,4.7190
2018-08-27,4.5200
2018-08-24,4.5595
2018-08-23,4.2750
2018-08-22,4.2600
2018-08-21,4.1100
2018-08-20,4.0100
2018-08-17,3.8500
2018-08-16,3.8200
2018-08-15,3.8661
2018-08-14,3.4900
2018-08-13,3.7000
2018-08-10,3.7478
2018-08-09,3.9927
2018-08-08,3.9600
2018-08-07,3.9600
2018-08-06,4.0300
2018-08-03,3.8900
2018-08-02,3.9200
2018-08-01,3.9760
2018-07-31,3.8200
2018-07-30,3.6999
2018-07-27,3.4310
2018-07-26,3.3518
2018-07-25,3.4900
2018-07-24,3.5287
2018-07-23,3.5755
2018-07-20,3.5300
2018-07-19,3.3700
2018-07-18,3.5600
2018-07-17,3.2508
2018-07-16,3.3500
2018-07-13,3.6800
2018-07-12,3.8100
2018-07-11,3.7900
2018-07-10,3.8385
2018-07-09,3.8730
2018-07-06,3.9800
2018-07-05,4.0000
2018-07-03,3.9757
2018-07-02,4.0500
2018-06-29,4.0306
2018-06-28,4.0444
2018-06-27,3.7664
2018-06-26,4.0100
2018-06-25,4.1281
2018-06-22,4.3000
2018-06-21,4.3200
2018-06-20,4.3000
2018-06-19,4.0874
2018-06-18,3.9800
2018-06-15,4.0100
2018-06-14,4.1755
2018-06-13,4.2000
2018-06-12,4.2000
2018-06-11,4.3700
2018-06-08,4.4947
2018-06-07,4.4500
2018-06-06,4.4200
2018-06-05,4.2500
2018-06-04,3.8600
2018-06-01,3.7900
2018-05-31,3.8983
2018-05-30,3.9030
2018-05-29,3.8500
2018-05-25,3.7755
2018-05-24,3.8300
2018-05-23,3.8774
2018-05-22,3.8500
2018-05-21,3.9900
2018-05-18,3.7300
2018-05-17,3.6200
2018-05-16,3.6500
2018-05-15,3.6800
2018-05-14,3.7400
2018-05-11,3.4196
2018-05-10,3.4797
2018-05-09,3.4500
2018-05-08,3.3600
2018-05-07,3.3960
2018-05-04,3.1886
2018-05-03,3.1800
2018-05-02,3.1700
2018-05-01,3.0903
2018-04-30,3.1427
2018-04-27,3.0600
2018-04-26,3.0000
2018-04-25,3.0636
2018-04-24,3.0790
2018-04-23,3.0800
2018-04-20,3.1400
2018-04-19,3.0748
2018-04-18,3.0992
2018-04-17,3.1300
2018-04-16,3.1790
2018-04-13,3.0700
2018-04-12,2.8600
2018-04-11,2.8500
2018-04-10,2.8700
2018-04-09,2.7200
2018-04-06,2.8640
2018-04-05,2.9888
2018-04-04,2.9080
2018-04-03,2.8700
2018-04-02,3.0500
2018-03-29,3.1156
2018-03-28,3.1100
2018-03-27,3.1800
2018-03-26,3.3148
2018-03-23,3.3300
2018-03-22,3.2500
2018-03-21,3.4524
2018-03-20,3.5793
2018-03-19,3.6500
2018-03-16,3.4600
2018-03-15,3.3900
2018-03-14,3.3440
2018-03-13,3.3562
2018-03-12,3.3700
2018-03-09,3.3570
2018-03-08,3.3000
2018-03-07,3.2535
2018-03-06,3.2930
2018-03-05,3.3110
2018-03-02,3.1500
2018-03-01,3.1000
2018-02-28,3.0790
2018-02-27,2.9482
2018-02-26,3.0876
2018-02-23,3.2100
2018-02-22,3.2747
2018-02-21,3.3260
2018-02-20,3.4272
2018-02-16,3.2331
2018-02-15,3.4375
2018-02-14,3.4199
2018-02-13,3.4400
2018-02-12,3.3921
2018-02-09,3.3047
2018-02-08,3.1560
2018-02-07,3.3332
2018-02-06,3.4873
2018-02-05,3.2224
2018-02-02,3.0564
2018-02-01,3.4500
2018-01-31,3.9200
2018-01-30,3.8609
2018-01-29,4.1058
2018-01-26,4.1901
2018-01-25,4.1999
2018-01-24,4.3700
2018-01-23,4.0600
2018-01-22,3.8753
2018-01-19,3.8799
2018-01-18,3.9100
2018-01-17,3.9790
2018-01-16,4.0000
2018-01-12,3.4463
2018-01-11,3.7183
2018-01-10,4.0464
2018-01-09,4.3400
2018-01-08,4.1890
2018-01-05,3.8561
2018-01-04,3.5669
2018-01-03,3.9450
2018-01-02,3.6095
2017-12-29,3.2359
2017-12-28,3.2300
2017-12-27,3.1600
2017-12-26,3.1700
2017-12-22,2.9100
2017-12-21,2.8773
2017-12-20,2.8900
2017-12-19,2.9890
2017-12-18,2.8600
2017-12-15,2.9300
2017-12-14,3.0700
2017-12-13,3.0800
2017-12-12,3.2100
2017-12-11,3.1800
2017-12-08,2.9490
2017-12-07,2.7900
2017-12-06,3.0000
2017-12-05,2.7000
2017-12-04,2.6100
2017-12-01,2.6300
2017-11-30,2.6200
